,Mail_Type,Mail_Message,transformed_text
28,ham,i m back  amp  we re packing the car now  i ll let you know if there s room,back amp pack car let know room
29,ham,ahhh  work  i vaguely remember that  what does it feel like  lol,ahhh work vagu rememb feel like lol
30,ham,wait that s still not all that clear  were you not sure about me being sarcastic or that that s why x doesn t want to live with us,wait still clear sure sarcast x want live us
31,ham,yeah he got in at 2 and was v apologetic  n had fallen out and she was actin like spoilt child and he got caught up in that  till 2  but we won t go there  not doing too badly cheers  you  ,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 go badli cheer
32,ham,k tell me anything about you ,k tell anyth
33,ham,for fear of fainting with the of all that housework you just did  quick have a cuppa,fear faint housework quick cuppa
34,spam,thanks for your subscription to ringtone uk your mobile will be charged   5 month please confirm by replying yes or no  if you reply no you will not be charged,thank subscript rington uk mobil charg 5 month pleas confirm repli ye repli charg
35,ham,yup    ok i go home look at the timings then i msg    again    xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok go home look time msg xuhui go learn 2nd may lesson 8am
36,ham,oops  i ll let you know when my roommate s done,oop let know roommat done
37,ham,i see the letter b on my car,see letter b car
38,ham,anything lor    u decide   ,anyth lor u decid
39,ham,hello  how s you and how did saturday go  i was just texting to see if you d decided to do anything tomo  not that i m trying to invite myself or anything ,hello saturday go text see decid anyth tomo tri invit anyth
40,ham,pls go ahead with watts  i just wanted to be sure  do have a great weekend  abiola,pl go ahead watt want sure great weekend abiola
41,ham,did i forget to tell you   i want you   i need you  i crave you     but most of all     i love you my sweet arabian steed     mmmmmm     yummy,forget tell want need crave love sweet arabian steed mmmmmm yummi
42,spam,07732584351   rodger burns   msg   we tried to call you re your reply to our sms for a free nokia mobile   free camcorder  please call now 08000930705 for delivery tomorrow,07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow
43,ham,who are you seeing ,see
44,ham,great  i hope you like your man well endowed  i am   lt   gt   inches   ,great hope like man well endow lt gt inch
45,ham,no calls  messages  missed calls,call messag miss call
46,ham,didn t you get hep b immunisation in nigeria ,get hep b immunis nigeria
47,ham,fair enough  anything going on ,fair enough anyth go
48,ham,yeah hopefully  if tyler can t do it i could maybe ask around a bit,yeah hope tyler could mayb ask around bit
49,ham,u don t know how stubborn i am  i didn t even want to go to the hospital  i kept telling mark i m not a weak sucker  hospitals are for weak suckers ,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker
50,ham,what you thinked about me  first time you saw me in class ,think first time saw class
51,ham,a gram usually runs like   lt   gt    a half eighth is smarter though and gets you almost a whole second gram for   lt   gt ,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
52,ham,k fyi x has a ride early tomorrow morning but he s crashing at our place tonight,k fyi x ride earli tomorrow morn crash place tonight
53,ham,wow  i never realized that you were so embarassed by your accomodations  i thought you liked it  since i was doing the best i could and you always seemed so happy about  the cave    i m sorry i didn t and don t have more to give  i m sorry i offered  i m sorry your room was so embarassing  ,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass
54,spam,sms  ac sptv  the new jersey devils and the detroit red wings play ice hockey  correct or incorrect  end  reply end sptv,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
55,ham,do you know what mallika sherawat did yesterday  find out now     lt url gt ,know mallika sherawat yesterday find lt url gt
56,spam,congrats  1 year special cinema pass for 2 is yours  call 09061209465 now  c suprman v  matrix3  starwars3  etc all 4 free  bx420 ip4 5we  150pm  dont miss out  ,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420 ip4 5we 150pm dont miss
57,ham,sorry  i ll call later in meeting ,sorri call later meet
58,ham,tell where you reached,tell reach
59,ham,yes  gauti and sehwag out of odi series ,ye gauti sehwag odi seri
60,ham,your gonna have to pick up a  1 burger for yourself on your way home  i can t even move  pain is killing me ,gon na pick 1 burger way home even move pain kill
61,ham,ha ha ha good joke  girls are situation seekers ,ha ha ha good joke girl situat seeker
62,ham,its a part of checking iq,part check iq
63,ham,sorry my roommates took forever  it ok if i come by now ,sorri roommat took forev ok come
64,ham,ok lar i double check wif da hair dresser already he said wun cut v short  he said will cut until i look nice ,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
65,spam,as a valued customer  i am pleased to advise you that following recent review of your mob no  you are awarded with a   1500 bonus prize  call 09066364589,valu custom pleas advis follow recent review mob award 1500 bonu prize call 09066364589
66,ham,today is  song dedicated day     which song will u dedicate for me  send this to all ur valuable frnds but first rply me    ,today song dedic day song u dedic send ur valuabl frnd first rpli
67,spam,urgent ur awarded a complimentary trip to eurodisinc trav  aco entry41 or   1000  to claim txt dis to 87121 18 6   1 50 morefrmmob  shracomorsglsuplt 10  ls1 3aj,urgent ur award complimentari trip eurodisinc trav aco entry41 1000 claim txt di 87121 18 6 1 50 morefrmmob shracomorsglsuplt 10 ls1 3aj
68,spam,did you hear about the new  divorce barbie    it comes with all of ken s stuff  ,hear new divorc barbi come ken stuff
69,ham,i plane to give on this month end ,plane give month end
70,ham,wah lucky man    then can save money    hee   ,wah lucki man save money hee
71,ham,finished class where are you ,finish class
72,ham,hi babe im at home now wanna do something  xx,hi babe im home wan na someth xx
73,ham,k  k  where are you how did you performed ,k k perform
74,ham,u can call me now   ,u call
75,ham,i am waiting machan  call me once you free ,wait machan call free
76,ham,thats cool  i am a gentleman and will treat you with dignity and respect ,that cool gentleman treat digniti respect
77,ham,i like you peoples very much   but am very shy pa ,like peopl much shi pa
78,ham,does not operate after   lt   gt   or what,oper lt gt
79,ham,its not the same here  still looking for a job  how much do ta s earn there ,still look job much ta earn
80,ham,sorry  i ll call later,sorri call later
81,ham,k  did you call me just now ah  ,k call ah
82,ham,ok i am on the way to home hi hi,ok way home hi hi
83,ham,you will be in the place of that man,place man
84,ham,yup next stop ,yup next stop
85,ham,i call you later  don t have network  if urgnt  sms me ,call later network urgnt sm
86,ham,for real when u getting on yo  i only need 2 more tickets and one more jacket and i m done  i already used all my multis ,real u get yo need 2 ticket one jacket done alreadi use multi
87,ham,yes i started to send requests to make it but pain came back so i m back in bed  double coins at the factory too  i gotta cash in all my nitros ,ye start send request make pain came back back bed doubl coin factori got ta cash nitro
88,ham,i m really not up to it still tonight babe,realli still tonight babe
89,ham,ela kano  il download  come wen ur free  ,ela kano il download come wen ur free
90,ham,yeah do  don   t stand to close tho  you   ll catch something ,yeah stand close tho catch someth
91,ham,sorry to be a pain  is it ok if we meet another night  i spent late afternoon in casualty and that means i haven t done any of y stuff42moro and that includes all my time sheets and that  sorry  ,sorri pain ok meet anoth night spent late afternoon casualti mean done stuff42moro includ time sheet sorri
92,ham,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling  ,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile
93,spam,please call our customer service representative on 0800 169 6031 between 10am 9pm as you have won a guaranteed   1000 cash or   5000 prize ,pleas call custom servic repres 0800 169 6031 10am 9pm guarante 1000 cash 5000 prize
94,ham,havent planning to buy later  i check already lido only got 530 show in e afternoon  u finish work already ,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi
95,spam,your free ringtone is waiting to be collected  simply text the password  mix   to 85069 to verify  get usher and britney  fml,free rington wait collect simpli text password mix 85069 verifi get usher britney fml
96,ham,watching telugu movie  wat abt u ,watch telugu movi wat abt u
97,ham,i see  when we finish we have loads of loans to pay,see finish load loan pay
98,ham,hi  wk been ok   on hols now  yes on for a bit of a run  forgot that i have hairdressers appointment at four so need to get home n shower beforehand  does that cause prob for u     ham ,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham
99,ham,please don t text me anymore  i have nothing else to say ,pleas text anymor noth els say
100,ham,okay name ur price as long as its legal  wen can i pick them up  y u ave x ams xx,okay name ur price long legal wen pick u ave x am xx
101,ham,i m still looking for a car to buy  and have not gone 4the driving test yet ,still look car buy gone 4the drive test yet
102,ham,wow  you re right  i didn t mean to do that  i guess once i gave up on boston men and changed my search location to nyc  something changed  cuz on my signin page it still says boston ,wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
103,ham,umma my life and vava umma love you lot dear,umma life vava umma love lot dear
104,ham,thanks a lot for your wishes on my birthday  thanks you for making my birthday truly memorable ,thank lot wish birthday thank make birthday truli memor
105,ham,aight  i ll hit you up when i get some cash,aight hit get cash
106,ham,how would my ip address test that considering my computer isn t a minecraft server,would ip address test consid comput minecraft server
107,ham,i know  grumpy old people  my mom was like you better not be lying  then again i am always the one to play jokes   ,know grumpi old peopl mom like better lie alway one play joke
108,ham,dont worry  i guess he s busy ,dont worri guess busi
109,ham,what is the plural of the noun research ,plural noun research
110,ham,going for dinner msg you after ,go dinner msg
111,ham,i m ok wif it cos i like 2 try new things  but i scared u dun like mah  cos u said not too loud ,ok wif co like 2 tri new thing scare u dun like mah co u said loud
112,spam,gent  we are trying to contact you  last weekends draw shows that you won a   1000 prize guaranteed  call 09064012160  claim code k52  valid 12hrs only  150ppm,gent tri contact last weekend draw show 1000 prize guarante call 09064012160 claim code k52 valid 12hr 150ppm
113,ham,wa  ur openin sentence very formal    anyway  i m fine too  juz tt i m eatin too much n puttin on weight   haha    so anythin special happened ,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen
114,ham,as i entered my cabin my pa said     happy b day boss       i felt special  she askd me 4 lunch  after lunch she invited me to her apartment  we went there ,enter cabin pa said happi b day boss felt special askd 4 lunch lunch invit apart went
115,spam,you are a winner u have been specially selected 2 receive   1000 or a 4  holiday  flights inc  speak to a live operator 2 claim 0871277810910p min  18   ,winner u special select 2 receiv 1000 4 holiday flight inc speak live oper 2 claim 0871277810910p min 18
116,ham,goodo  yes we must speak friday   egg potato ratio for tortilla needed  ,goodo ye must speak friday egg potato ratio tortilla need
117,ham,hmm   my uncle just informed me that he s paying the school directly  so pls buy food ,hmm uncl inform pay school directli pl buy food
118,spam,private  your 2004 account statement for 07742676969 shows 786 unredeemed bonus points  to claim call 08719180248 identifier code  45239 expires,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir
119,spam,urgent  your mobile no  was awarded   2000 bonus caller prize on 5 9 03 this is our final try to contact u  call from landline 09064019788 box42wr29c  150ppm,urgent mobil award 2000 bonu caller prize 5 9 03 final tri contact u call landlin 09064019788 box42wr29c 150ppm
120,ham,here is my new address  apples pairs all that malarky,new address appl pair malarki
121,spam,todays voda numbers ending 7548 are selected to receive a  350 award  if you have a match please call 08712300220 quoting claim code 4041 standard rates app,today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app
122,ham,i am going to sao mu today  will be done only at 12 ,go sao mu today done 12
123,ham,   predict wat time    ll finish buying ,predict wat time finish buy
124,ham,good stuff  will do ,good stuff
125,ham,just so that you know yetunde hasn t sent money yet  i just sent her a text not to bother sending  so its over  you dont have to involve yourself in anything  i shouldn t have imposed anything on you in the first place so for that  i apologise ,know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis
126,ham,are you there in room ,room
127,ham,hey girl  how r u  hope u r well me an del r bak  again long time no c  give me a call sum time from lucyxx,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
128,ham,k  k  how much does it cost ,k k much cost
129,ham,i m home ,home
130,ham,dear  will call tmorrow pls accomodate ,dear call tmorrow pl accomod
131,ham,first answer my question ,first answer question
132,spam,sunshine quiz wkly q  win a top sony dvd player if u know which country the algarve is in  txt ansr to 82277    1 50 sp tyrone,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr 82277 1 50 sp tyron
133,spam,want 2 get laid tonight  want real dogging locations sent direct 2 ur mob  join the uk s largest dogging network bt txting gravel to 69888  nt  ec2a  31p msg 150p,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 31p msg 150p
134,ham,i only haf msn  it s yijue hotmail com,haf msn yiju hotmail com
135,ham,he is there  you call and meet him,call meet
136,ham,no no  i will check all rooms befor activities,check room befor activ
137,spam,you ll not rcv any more msgs from the chat svc  for free hardcore services text go to  69988 if u get nothing u must age verify with yr network   try again,rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri
138,ham,got c    i lazy to type    i forgot    in lect    i saw a pouch but like not v nice   ,got c lazi type forgot lect saw pouch like v nice
139,ham,k  text me when you re on the way,k text way
140,ham,sir  waiting for your mail ,sir wait mail
141,ham,a swt thought   nver get tired of doing little things 4 lovable persons     coz  somtimes those little things occupy d biggest part in their hearts   gud ni8 ,swt thought nver get tire littl thing 4 lovabl person coz somtim littl thing occupi biggest part heart gud ni8
142,ham,i know you are  can you pls open the back ,know pl open back
143,ham,yes see ya not on the dot,ye see ya dot
144,ham,whats the staff name who is taking class for us ,what staff name take class us
145,spam,freemsg why haven t you replied to my text  i m randy  sexy  female and live local  luv to hear from u  netcollex ltd 08700621170150p per msg reply stop to end,freemsg repli text randi sexi femal live local luv hear u netcollex ltd 08700621170150p per msg repli stop end
146,ham,ummma will call after check in our life will begin from qatar so pls pray very hard ,ummma call check life begin qatar pl pray hard
147,ham,k  i deleted my contact that why ,k delet contact
148,ham,sindu got job in birla soft   ,sindu got job birla soft
149,ham,the wine is flowing and i m i have nevering  ,wine flow never
150,ham,yup i thk cine is better cos no need 2 go down 2 plaza mah ,yup thk cine better co need 2 go 2 plaza mah
151,ham,ok    ur typical reply   ,ok ur typic repli
152,ham,you are everywhere dirt  on the floor  the windows  even on my shirt  and sometimes when i open my mouth  you are all that comes flowing out  i dream of my world without you  then half my chores are out too  a time of joy for me  lots of tv shows i ll see  but i guess like all things you just must exist  like rain  hail and mist  and when my time here is done  you and i become one ,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one
153,ham,aaooooright are you at work ,aaooooright work
154,ham,i m leaving my house now   ,leav hous
155,ham,hello  my love  what are you doing  did you get to that interview today  are you you happy  are you being a good boy  do you think of me are you missing me  ,hello love get interview today happi good boy think miss
156,spam,customer service annoncement  you have a new years delivery waiting for you  please call 07046744435 now to arrange delivery,custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri
157,spam,you are a winner u have been specially selected 2 receive   1000 cash or a 4  holiday  flights inc  speak to a live operator 2 claim 0871277810810,winner u special select 2 receiv 1000 cash 4 holiday flight inc speak live oper 2 claim 0871277810810
158,ham,keep yourself safe for me because i need you and i miss you already and i envy everyone that see s you in real life,keep safe need miss alreadi envi everyon see real life
159,ham,new car and house for my parents   i have only new job in hand  ,new car hous parent new job hand
160,ham,i m so in love with you  i m excited each day i spend with you  you make me so happy ,love excit day spend make happi
161,spam, pls stop bootydelious  32 f  is inviting you to be her friend  reply yes 434 or no 434 see her  www sms ac u bootydelious stop  send stop frnd to 62468,pl stop bootydeli 32 f invit friend repli ye 434 434 see www sm ac u bootydeli stop send stop frnd 62468
162,spam,bangbabes ur order is on the way  u should receive a service msg 2 download ur content  if u do not  goto wap  bangb  tv on ur mobile internet service menu,bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil internet servic menu
163,ham,i place all ur points on e cultures module already ,place ur point e cultur modul alreadi
164,spam,urgent  we are trying to contact you  last weekends draw shows that you have won a   900 prize guaranteed  call 09061701939  claim code s89  valid 12hrs only,urgent tri contact last weekend draw show 900 prize guarante call 09061701939 claim code s89 valid 12hr
165,ham,hi frnd  which is best way to avoid missunderstding wit our beloved one s ,hi frnd best way avoid missunderstd wit belov one
166,ham,great escape  i fancy the bridge but needs her lager  see you tomo ,great escap fanci bridg need lager see tomo
167,ham,yes   it completely in out of form  clark also utter waste ,ye complet form clark also utter wast
168,ham,sir  i need axis bank account no and bank address ,sir need axi bank account bank address
169,ham,hmmm   thk sure got time to hop ard    ya  can go 4 free abt    muz call u to discuss liao    ,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao
170,ham,what time you coming down later  ,time come later
171,ham,bloody hell  cant believe you forgot my surname mr   ill give u a clue  its spanish and begins with m    ,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin
172,ham,well  i m gonna finish my bath now  have a good   fine night ,well gon na finish bath good fine night
173,ham,let me know when you ve got the money so carlos can make the call,let know got money carlo make call
174,ham,u still going to the mall ,u still go mall
175,ham,turns out my friends are staying for the whole show and won t be back til    lt   gt    so feel free to go ahead and smoke that    lt   gt   worth,turn friend stay whole show back til lt gt feel free go ahead smoke lt gt worth
176,ham,text her  if she doesnt reply let me know so i can have her log in,text doesnt repli let know log
177,ham,hi  you just spoke to maneesha v  we d like to know if you were satisfied with the experience  reply toll free with yes or no ,hi spoke maneesha v like know satisfi experi repli toll free ye
178,ham,you lifted my hopes with the offer of money  i am in need  especially when the end of the month approaches and it hurts my studying  anyways have a gr8 weekend,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend
179,ham,lol no  u can trust me ,lol u trust
180,ham,ok  i am a gentleman and will treat you with dignity and respect ,ok gentleman treat digniti respect
181,ham,he will  you guys close ,guy close
182,ham,going on nothing great bye,go noth great bye
183,ham,hello handsome   are you finding that job   not being lazy   working towards getting back that net for mummy   where s my boytoy now   does he miss me  ,hello handsom find job lazi work toward get back net mummi boytoy miss
184,ham,haha awesome  be there in a minute,haha awesom minut
185,spam,please call our customer service representative on freephone 0808 145 4742 between 9am 11pm as you have won a guaranteed   1000 cash or   5000 prize ,pleas call custom servic repres freephon 0808 145 4742 9am 11pm guarante 1000 cash 5000 prize
186,ham,have you got xmas radio times  if not i will get it now,got xma radio time get
187,ham,i jus reached home  i go bathe first  but my sis using net tell u when she finishes k   ,ju reach home go bath first si use net tell u finish k
188,spam,are you unique enough  find out from 30th august  www areyouunique co uk,uniqu enough find 30th august www areyouuniqu co uk
189,ham,i m sorry  i ve joined the league of people that dont keep in touch  you mean a great deal to me  you have been a friend at all times even at great personal cost  do have a great week  ,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great week
190,ham,hi   finally i completed the course  ,hi final complet cours
191,ham,it will stop on itself  i however suggest she stays with someone that will be able to give ors for every stool ,stop howev suggest stay someon abl give or everi stool
192,ham,how are you doing  hope you ve settled in for the new school year  just wishin you a gr8 day,hope settl new school year wishin gr8 day
193,ham,gud mrng dear hav a nice day,gud mrng dear hav nice day
194,ham,did u got that persons story,u got person stori
195,ham,is your hamster dead  hey so tmr i meet you at 1pm orchard mrt  ,hamster dead hey tmr meet 1pm orchard mrt
196,ham,hi its kate how is your evening  i hope i can see you tomorrow for a bit but i have to bloody babyjontet  txt back if u can     xxx,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
197,ham,found it  enc   lt   gt    where you at ,found enc lt gt
198,ham,i sent you   lt   gt   bucks,sent lt gt buck
199,ham,hello darlin ive finished college now so txt me when u finish if u can love kate xxx,hello darlin ive finish colleg txt u finish u love kate xxx
200,ham,your account has been refilled successfully by inr   lt decimal gt    your keralacircle prepaid account balance is rs   lt decimal gt    your transaction id is kr  lt   gt   ,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt
201,ham,goodmorning sleeping ga ,goodmorn sleep ga
202,ham,u call me alter at 11 ok ,u call alter 11 ok
203,ham,   say until like dat i dun buy ericsson oso cannot oredi lar   ,say like dat dun buy ericsson oso oredi lar
204,ham,aight yo  dats straight dogg,aight yo dat straight dogg
205,ham,you please give us connection today itself before   lt decimal gt   or refund the bill,pleas give us connect today lt decim gt refund bill
206,ham,both    i shoot big loads so get ready ,shoot big load get readi
207,ham,what s up bruv  hope you had a great break  do have a rewarding semester ,bruv hope great break reward semest
208,ham,home so we can always chat,home alway chat
209,ham,k  k  good  study well ,k k good studi well
210,ham,yup    how    noe leh   ,yup noe leh
211,ham,sounds great  are you home now ,sound great home
212,ham,finally the match heading towards draw as your prediction ,final match head toward draw predict
213,ham,tired  i haven t slept well the past few nights ,tire slept well past night
214,ham,easy ah sen got selected means its good  ,easi ah sen got select mean good
215,ham,i have to take exam with march 3,take exam march 3
216,ham,yeah you should  i think you can use your gt atm now to register  not sure but if there s anyway i can help let me know  but when you do be sure you are ready ,yeah think use gt atm regist sure anyway help let know sure readi
217,ham,ok no prob  take ur time ,ok prob take ur time
218,ham,there is os called ubandu which will run without installing in hard disk   you can use that os to copy the important files in system and give it to repair shop  ,os call ubandu run without instal hard disk use os copi import file system give repair shop
219,ham,u say leh    of course nothing happen lar  not say v romantic jus a bit only lor  i thk e nite scenery not so nice leh ,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
220,spam,500 new mobiles from 2004  must go  txt  nokia to no  89545   collect yours today from only   1 www 4 tc biz 2optout 087187262701 50gbp mtmsg18,500 new mobil 2004 must go txt nokia 89545 collect today 1 www 4 tc biz 2optout 087187262701 50gbp mtmsg18
221,ham,would really appreciate if you call me  just need someone to talk to ,would realli appreci call need someon talk
222,spam,will u meet ur dream partner soon  is ur career off 2 a flyng start  2 find out free  txt horo followed by ur star sign  e  g  horo aries,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign e g horo ari
223,ham,hey company elama po mudyadhu ,hey compani elama po mudyadhu
224,ham,life is more strict than teacher    bcoz teacher teaches lesson  amp  then conducts exam  but life first conducts exam  amp  then teaches lessons  happy morning     ,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn
225,ham,dear good morning now only i am up,dear good morn
226,ham,get down in gandhipuram and walk to cross cut road  right side  lt   gt  street road and turn at first right ,get gandhipuram walk cross cut road right side lt gt street road turn first right
227,ham,dear we are going to our rubber place,dear go rubber place
228,ham,sorry battery died  yeah i m here,sorri batteri die yeah
229,ham,yes  here tv is always available in work place  ,ye tv alway avail work place
230,spam,text   meet someone sexy today  u can find a date or even flirt its up to u  join 4 just 10p  reply with name   age eg sam 25  18  msg recd thirtyeight pence,text meet someon sexi today u find date even flirt u join 4 10p repli name age eg sam 25 18 msg recd thirtyeight penc
231,ham,i have printed it oh  so   lt   gt   come upstairs,print oh lt gt come upstair
232,ham,or ill be a little closer like at the bus stop on the same street,ill littl closer like bu stop street
233,ham,where are you when wil you reach here ,wil reach
234,ham,new theory  argument wins d situation  but loses the person  so dont argue with ur friends just         kick them  amp  say  i m always correct  ,new theori argument win situat lose person dont argu ur friend kick amp say alway correct
235,spam,u 447801259231 have a secret admirer who is looking 2 make contact with u find out who they r reveal who thinks ur so special call on 09058094597,u 447801259231 secret admir look 2 make contact u find r reveal think ur special call 09058094597
236,ham,tomarrow final hearing on my laptop case so i cant ,tomarrow final hear laptop case cant
237,ham,pleassssssseeeeee tel me v avent done sportsx,pleassssssseeeee tel v avent done sportsx
238,ham,okay  no no  just shining on  that was meant to be signing  but that sounds better ,okay shine meant sign sound better
239,ham,although i told u dat i m into baig face watches now but i really like e watch u gave cos it s fr u  thanx 4 everything dat u ve done today  i m touched   ,although told u dat baig face watch realli like e watch u gave co fr u thanx 4 everyth dat u done today touch
240,ham,u don t remember that old commercial ,u rememb old commerci
241,ham,too late  i said i have the website  i didn t i have or dont have the slippers,late said websit dont slipper
242,ham,i asked you to call him now ok,ask call ok
243,ham,kallis wont bat in 2nd innings ,kalli wont bat 2nd inning
244,ham,it didnt work again oh  ok goodnight then  i ll fix and have it ready by the time you wake up  you are very dearly missed have a good night sleep ,didnt work oh ok goodnight fix readi time wake dearli miss good night sleep
245,spam,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed   free entry 2 100 wkly draw txt music to 87066 tncs www ldew com1win150ppmx3age16,congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc www ldew com1win150ppmx3age16
246,ham,ranjith cal drpd deeraj and deepak 5min hold,ranjith cal drpd deeraj deepak 5min hold
